Contributors,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
1,3,"Oct  5, 2015",0,"Oct  5, 2015",164 KB,3,2,1,http://os.hashobject.com/hashids/,hashobject/hashids,https://clojars.org/hashobject/hashids/versions/0.2.0,https://github.com/hashobject/hashids
1,0,"Oct  5, 2015",1,"Oct  5, 2015",145 KB,3,2,2,https://github.com/clojure-android/droid-test,org.clojure-android/droid-test,https://clojars.org/org.clojure-android/droid-test/versions/0.1.1-SNAPSHOT,https://github.com/clojure-android/droid-test
4,0,"Aug  9, 2016",4,"Jul  8, 2016",2.22 MB,3,2,3,https://github.com/phaneesh/revolver,io.dropwizard/dropwizard-revolver,https://clojars.org/io.dropwizard/dropwizard-revolver/versions/1.0.0-rc2-SNAPSHOT,https://github.com/phaneesh/revolver
3,0,"May 28, 2017",5,"Jun  6, 2017",6.32 MB,3,8,15,https://github.com/alda-lang/alda-client-java,alda/client-java,https://clojars.org/alda/client-java/versions/0.3.0,https://github.com/alda-lang/alda-client-java
0,0,"Feb  7, 2018",0,"Feb  7, 2018",896 KB,3,2,3,https://github.com/RBerkheimer/onyx-java,zvs/onyx-java,https://clojars.org/zvs/onyx-java/versions/0.1.2-fork,https://github.com/RBerkheimer/onyx-java
0,1,"Jan 16, 2018",0,"Jan 16, 2018",22.5 KB,3,4,1,https://github.com/ilevd/toml,toml,https://clojars.org/toml/versions/0.1.2,https://github.com/ilevd/toml
0,6,"Oct  5, 2015",1,"Oct  5, 2015",111 KB,3,2,1,https://github.com/jasonjckn/kestrel-thrift-java-bindings,kestrel-thrift-java-bindings,https://clojars.org/kestrel-thrift-java-bindings/versions/2.2.0,https://github.com/jasonjckn/kestrel-thrift-java-bindings
1,1,"Oct  5, 2015",0,"Oct  5, 2015",113 KB,3,1,1,https://github.com/scusack/diff-match-patch-clj,diff-match-patch-clj,https://clojars.org/diff-match-patch-clj/versions/1.0.0-SNAPSHOT,https://github.com/scusack/diff-match-patch-clj
1,0,"Oct  5, 2015",5,"Oct  5, 2015",9.09 MB,3,2,1,https://github.com/Ruiyun/dvr4j,dvr4j,https://clojars.org/dvr4j/versions/1.0-SNAPSHOT,https://github.com/Ruiyun/dvr4j
1,0,"Oct  5, 2015",5,"Oct  5, 2015",9.09 MB,3,1,1,https://github.com/Ruiyun/dvr4j,com.ruiyun.dvr4j/dvr4j,https://clojars.org/com.ruiyun.dvr4j/dvr4j/versions/1.2-SNAPSHOT,https://github.com/Ruiyun/dvr4j
1,0,"Oct  5, 2015",1,"Oct  5, 2015",145 KB,3,1,10,https://github.com/adzerk-oss/boot-ubermain,adzerk/boot-ubermain,https://clojars.org/adzerk/boot-ubermain/versions/1.0.0-SNAPSHOT,https://github.com/adzerk-oss/boot-ubermain
1,0,"Oct  5, 2015",0,"Oct  5, 2015",152 KB,3,4,1,https://github.com/mpenet/grease,cc.qbits/grease,https://clojars.org/cc.qbits/grease/versions/0.2.2,https://github.com/mpenet/grease
4,0,"Oct  5, 2015",0,"Oct  5, 2015",132 KB,3,1,1,https://github.com/dakrone/clj-json,org.clojars.thnetos/clj-json,https://clojars.org/org.clojars.thnetos/clj-json/versions/0.3.2-SNAPSHOT,https://github.com/dakrone/clj-json
1,0,"Feb 27, 2019",0,"Feb 27, 2019",121 KB,3,1,1,https://github.com/santanusinha/hope,io.appform.hope/hope,https://clojars.org/io.appform.hope/hope/versions/1.0-SNAPSHOT,https://github.com/santanusinha/hope
1,0,"Oct  5, 2015",2,"Oct  5, 2015",126 KB,3,8,38,http://flipkart-incubator.github.io/hydra/,com.flipkart.hydra/hydra,https://clojars.org/com.flipkart.hydra/hydra/versions/1.0,https://github.com/flipkart-incubator/hydra
1,0,"Oct  5, 2015",0,"Oct  5, 2015",6.84 KB,3,2,2,https://github.com/zensight/natural-log,co.zensight/natural-log,https://clojars.org/co.zensight/natural-log/versions/0.1,https://github.com/zensight/natural-log
4,0,"Mar 28, 2018",4,"Mar 28, 2018",2.22 MB,3,1,3,https://github.com/phaneesh/revolver,io.dropwizard.auth/dropwizard-jwt,https://clojars.org/io.dropwizard.auth/dropwizard-jwt/versions/1.2.2-SNAPSHOT,https://github.com/phaneesh/revolver
4,0,"Jan 30, 2019",4,"Jul  9, 2019",2.22 MB,3,55,3,https://github.com/phaneesh/revolver,io.dropwizard.revolver/dropwizard-revolver,https://clojars.org/io.dropwizard.revolver/dropwizard-revolver/versions/1.3.7-38-SNAPSHOT,https://github.com/phaneesh/revolver
15,0,"Oct  5, 2015",0,"Oct  5, 2015",1010 KB,3,1,1,https://github.com/cosmin/jline2,com.offbytwo/jline,https://clojars.org/com.offbytwo/jline/versions/2.6,https://github.com/cosmin/jline2
1,1,"Oct  5, 2015",1,"Oct  5, 2015",146 KB,3,5,1,https://github.com/tel/cljfastdtw,cljfastdtw,https://clojars.org/cljfastdtw/versions/1.0.4-SNAPSHOT,https://github.com/tel/cljfastdtw
0,0,"Feb  7, 2018",0,"Feb  7, 2018",896 KB,3,1,3,https://github.com/RBerkheimer/onyx-java,onyx-java,https://clojars.org/onyx-java/versions/0.1.1-fork,https://github.com/RBerkheimer/onyx-java
1,0,"Feb  1, 2016",3,"Feb  1, 2016",11.7 KB,3,1,3,https://github.com/onyx-platform/onyx-java,org.onyxplatform/onyx-java,https://clojars.org/org.onyxplatform/onyx-java/versions/0.8.7-SNAPSHOT,https://github.com/onyx-platform/onyx-java
1,0,"Oct  5, 2015",0,"Oct  5, 2015",246 KB,3,1,2,https://github.com/suboptimalcode/subjson,su.boptim.al/subjson,https://clojars.org/su.boptim.al/subjson/versions/0.2.1,https://github.com/suboptimalcode/subjson
4,0,"Mar 16, 2016",4,"Apr 25, 2016",2.22 MB,3,9,3,https://github.com/phaneesh/revolver,io.dropwizard.revolver/revolver,https://clojars.org/io.dropwizard.revolver/revolver/versions/0.0.9-SNAPSHOT,https://github.com/phaneesh/revolver
0,2,"Jan 16, 2018",0,"Jan 16, 2018",18.6 KB,2,2,1,https://cambium-clojure.github.io/,cambium/cambium.logback.core,https://clojars.org/cambium/cambium.logback.core/versions/0.4.1,https://github.com/cambium-clojure/cambium.logback.core
