Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
20,3,0,0,"Feb 27, 2018",233,"Feb 27, 2018",8.34 MB,458,1,61,https://lcm-proj.github.io/,lcm,http://formulae.brew.sh/formula/lcm,https://github.com/lcm-proj/lcm
19,0,0,0,"Feb 27, 2018",111,"Feb 27, 2018",86.7 MB,444,1,56,https://github.com/tinkerpop/rexster/wiki,rexsterconsole,https://github.com/tinkerpop/rexster,https://github.com/tinkerpop/rexster/wiki
19,1,0,0,"Feb 27, 2018",111,"Feb 27, 2018",86.7 MB,444,1,56,http://rexster.tinkerpop.com/,rexster,http://formulae.brew.sh/formula/rexster,https://github.com/tinkerpop/rexster
49,,,0,"Apr 11, 2013",139,"Dec 17, 2019",3.31 MB,443,0,42,https://github.com/asciidoctor/asciidoctorj,asciidoctorj,http://formulae.brew.sh/formula/asciidoctorj,https://github.com/asciidoctor/asciidoctorj
7,0,0,0,"Feb 27, 2018",98,"Feb 27, 2018",559 KB,439,1,82,https://github.com/spring-projects/rest-shell,restshell,http://formulae.brew.sh/formula/restshell,https://github.com/spring-projects/rest-shell
13,,,0,"Nov 25, 2013",63,"Sep 15, 2017",816 KB,402,0,45,https://www.azul.com/jhiccup/,jhiccup,http://formulae.brew.sh/formula/jhiccup,https://github.com/giltene/jHiccup
35,0,0,0,"Feb 27, 2018",141,"Feb 27, 2018",12.9 MB,374,1,40,https://wiki.openstreetmap.org/wiki/Osmosis,osmosis,http://formulae.brew.sh/formula/osmosis,https://github.com/openstreetmap/osmosis
24,1,0,0,"Feb 27, 2018",49,"Feb 27, 2018",8.8 MB,355,1,48,http://redpen.cc/,redpen,http://formulae.brew.sh/formula/redpen,https://github.com/redpen-cc/redpen
89,,,0,"Aug  2, 2013",219,"Dec 30, 2019",363 MB,333,0,93,https://nuxeo.github.io/,nuxeo,http://formulae.brew.sh/formula/nuxeo,https://github.com/nuxeo/nuxeo
25,1,0,0,"Feb 27, 2018",52,"Feb 27, 2018",11 MB,259,1,39,https://github.com/google/closure-stylesheets,closurestylesheets,http://formulae.brew.sh/formula/closurestylesheets,https://github.com/google/closure-stylesheets
16,0,0,0,"Feb 27, 2018",141,"Feb 27, 2018",18 MB,215,1,33,https://www.antlr3.org/,libantlr3c,http://formulae.brew.sh/formula/libantlr3c,https://github.com/antlr/antlr3
71,1,0,0,"Feb 27, 2018",161,"Feb 27, 2018",34.8 MB,195,1,23,https://forge.jboss.org/,jbossforge,http://formulae.brew.sh/formula/jbossforge,https://github.com/forge/core
5,2,0,0,"Feb 27, 2018",12,"Feb 27, 2018",7.34 MB,174,1,17,https://mth.github.io/yeti/,yeti,http://formulae.brew.sh/formula/yeti,https://github.com/mth/yeti
1,0,0,0,"Feb 27, 2018",13,"Feb 27, 2018",598 KB,158,1,8,https://github.com/blangel/wrk,wrk-trello,http://formulae.brew.sh/formula/wrk-trello,https://github.com/blangel/wrk
10,0,0,0,"Feb 27, 2018",16,"Feb 27, 2018",102 MB,141,1,14,https://ioke.org/,ioke,http://formulae.brew.sh/formula/ioke,https://github.com/olabini/ioke
12,1,0,0,"Feb 27, 2018",54,"Feb 27, 2018",143 KB,122,1,11,https://wiki.openstreetmap.org/wiki/PBF_Format,osmpbf,http://formulae.brew.sh/formula/osmpbf,https://github.com/scrosby/OSM-binary
4,,,0,"Jun  9, 2001",52,"Nov 27, 2015",29 MB,111,0,15,https://code.google.com/p/jing-trang/,jing,http://formulae.brew.sh/formula/jing,https://github.com/relaxng/jing-trang
5,,,0,"Feb 16, 2014",21,"Mar 30, 2018",731 KB,106,0,3,http://www.walkmod.com,walkmod,http://formulae.brew.sh/formula/walkmod,https://github.com/rpau/walkmod-core
62,0,0,0,"Feb 27, 2018",52,"May  9, 2018",40.3 MB,94,2,27,https://github.com/Workiva/frugal,frugal,http://formulae.brew.sh/formula/frugal,https://github.com/Workiva/frugal
27,0,0,0,"Feb 27, 2018",48,"Feb 27, 2018",113 MB,92,1,74,https://www.sonatype.org/,nexus,http://formulae.brew.sh/formula/nexus,https://github.com/sonatype/nexus
4,1,0,0,"Feb 27, 2018",21,"Feb 27, 2018",4.04 MB,86,1,15,https://github.com/mjuhasz/BDSup2Sub,bdsup2sub,http://formulae.brew.sh/formula/bdsup2sub,https://github.com/mjuhasz/BDSup2Sub
8,3,0,0,"Feb 27, 2018",39,"Feb 27, 2018",1.56 MB,76,1,11,https://github.com/neurolabs/henplus,henplus,http://formulae.brew.sh/formula/henplus,https://github.com/neurolabs/henplus
2,1,0,0,"Feb 27, 2018",34,"Feb 27, 2018",338 KB,62,1,23,https://github.com/SonarSource/sonarlint-cli,sonarlint,http://formulae.brew.sh/formula/sonarlint,https://github.com/SonarSource/sonarlint-cli
20,,,0,"Jan 12, 2016",33,"May 23, 2018",924 KB,57,0,15,http://docs.sonarqube.org/display/SONAR/Analyzing+with+SonarQube+Scanner,sonarrunner,http://formulae.brew.sh/formula/sonarrunner,https://github.com/Sonarsource/sonar-scanner-cli
12,1,0,0,"Feb 27, 2018",44,"Feb 27, 2018",142 MB,52,1,17,https://github.com/LibraryOfCongress/bagit-java,bagit,http://formulae.brew.sh/formula/bagit,https://github.com/LibraryOfCongress/bagit-java
6,1,0,0,"Feb 27, 2018",13,"Feb 27, 2018",101 MB,36,1,8,https://github.com/LucidDB/luciddb,luciddb,http://formulae.brew.sh/formula/luciddb,https://github.com/LucidDB/luciddb
1,0,0,0,"Feb 27, 2018",3,"Feb 27, 2018",9.33 MB,24,1,1,http://www.xmlsh.org,xmlsh,http://formulae.brew.sh/formula/xmlsh,https://github.com/xmlsh/xmlsh1_3
3,1,0,0,"Feb 27, 2018",7,"Feb 27, 2018",4.03 MB,8,1,5,https://www.verisignlabs.com/jdnssec-tools/,jdnssectools,http://formulae.brew.sh/formula/jdnssectools,https://github.com/dblacka/jdnssec-tools
0,,,0,"Nov  5, 2009",1,"Sep 22, 2010",14.5 MB,0,0,2,https://github.com/codehaus/savana,savana,http://formulae.brew.sh/formula/savana,https://github.com/codehaus/savana
0,1,0,0,"Feb 27, 2018",94,"Feb 27, 2018",16.2 MB,,1,264,https://bitbucket.org/mstrobel/procyon/wiki/Java%20Decompiler,procyondecompiler,http://formulae.brew.sh/formula/procyondecompiler,https://bitbucket.org/mstrobel/procyon
