Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
29,0,0,0,"Mar 15, 2015",61,"Dec 23, 2019",1.6 MB,64,40,32,https://github.com/embulk/embulk-output-jdbc,embulk-output-oracle,https://rubygems.org/gems/embulk-output-oracle/versions/0.8.7,https://github.com/embulk/embulk-output-jdbc
29,0,0,0,"Jan 15, 2016",61,"Dec 23, 2019",1.6 MB,64,30,32,https://github.com/embulk/embulk-output-jdbc,embulk-output-sqlserver,https://rubygems.org/gems/embulk-output-sqlserver/versions/0.8.7,https://github.com/embulk/embulk-output-jdbc
29,0,0,0,"Feb 16, 2015",61,"Dec 23, 2019",1.6 MB,64,44,32,https://github.com/embulk/embulk-output-jdbc,embulk-output-jdbc,https://rubygems.org/gems/embulk-output-jdbc/versions/0.8.7,https://github.com/embulk/embulk-output-jdbc
6,0,25,175,"Aug  2, 2012",12,"Dec 24, 2014",186 KB,61,8,2,https://github.com/funny-falcon/murmurhash3-ruby,murmurhash3,https://rubygems.org/gems/murmurhash3/versions/0.1.6,https://github.com/funny-falcon/murmurhash3-ruby
2,0,6,7,"Jan 28, 2015",7,12 days ago,6.55 MB,61,68,7,https://ruby-processing.github.io/JRubyArt/,jruby_art,https://rubygems.org/gems/jruby_art/versions/2.4.0,https://github.com/ruby-processing/JRubyArt
12,0,12,250,"Mar 14, 2012",30,"Jan  9, 2020",60.2 MB,60,35,4,http://github.com/guyboertje/jrjackson,jrjackson,https://rubygems.org/gems/jrjackson/versions/0.4.11,https://github.com/guyboertje/jrjackson
1,0,14,27,"Dec 11, 2017",3,"Jan  5, 2018",1010 KB,45,8,6,https://github.com/crypto-rb/ed25519,ed25519,https://rubygems.org/gems/ed25519/versions/1.2.4,https://github.com/crypto-rb/ed25519
1,1,0,0,"Apr  5, 2019",22,"Apr 16, 2019",57.6 KB,45,3,3,https://github.com/KINGSABRI/godofwar,godofwar,https://rubygems.org/gems/godofwar/versions/1.1.0,https://github.com/KINGSABRI/godofwar
1,1,0,0,"Oct  7, 2012",3,"Oct 10, 2012",1010 KB,45,2,6,https://github.com/tarcieri/red25519,red25519,https://rubygems.org/gems/red25519/versions/1.1.0,https://github.com/tarcieri/red25519
8,1,0,1,"Feb  1, 2017",21,"Oct 19, 2017",134 KB,44,2,339,https://github.com/Shopify/graphql_java_gen,graphql_java_gen,https://rubygems.org/gems/graphql_java_gen/versions/0.1.1,https://github.com/Shopify/graphql_java_gen
0,7,1,5,"Feb 16, 2017",39,"Feb 16, 2017",623 MB,44,2,38,https://github.com/hl7-fhir/fhir-svn,plan_executor,https://rubygems.org/gems/plan_executor/versions/1.8.0,https://github.com/hl7-fhir/fhir-svn
2,1,0,1,"Mar 29, 2012",1,"Mar 20, 2016",7.29 MB,38,6,8,http://github.com/marekjelen/wildweb,thick,https://rubygems.org/gems/thick/versions/0.0.9,https://github.com/marekjelen/wildweb
1,1,0,0,"Dec  9, 2010",3,"Jan 20, 2012",7.1 MB,37,3,5,http://github.com/headius/cloby,cloby,https://rubygems.org/gems/cloby/versions/0.0.3,https://github.com/headius/cloby
8,0,7,17,"Apr 18, 2012",16,"May 21, 2014",1.54 MB,36,6,22,http://github.com/jruby/jruby-parser,jruby-parser,https://rubygems.org/gems/jruby-parser/versions/0.5.4,https://github.com/jruby/jruby-parser
