Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
1,0,0,0,"Jul 28, 2017",0,"Aug  1, 2017",1.01 MB,0,5,,https://gitlab.com/Artemix/WorkerInit,artemis/worker-init,/languages/Java,https://packagist.org/packages/artemis/worker-init#v0.3.2
0,,,0,"Dec 20, 2016",0,"Nov 10, 2017",930 KB,0,0,1,https://github.com/cdev38399/cordova-music-controls-plugin,cdev38399/cordova-music-controls-plugin,https://packagist.org/packages/cdev38399/cordova-music-controls-plugin#,https://github.com/cdev38399/cordova-music-controls-plugin
0,,,0,"Dec 20, 2016",0,"Nov 10, 2017",930 KB,0,0,1,https://github.com/cdev38399/cordova-music-controls-plugin-private,cdev38399/cordova-music-controls-plugin-private,https://packagist.org/packages/cdev38399/cordova-music-controls-plugin-private#,https://github.com/cdev38399/cordova-music-controls-plugin-private
1,,,0,"Apr 11, 2013",0,"Nov 14, 2019",1.29 MB,0,0,1,https://github.com/dkgndec/ILP,davinder/davinder,https://packagist.org/packages/davinder/davinder#,https://github.com/dkgndec/ILP
32,0,0,0,"Sep 25, 2014",1,"Sep 25, 2014",89.3 MB,0,3,5,https://developers.google.com/closure/compiler/,scribe/closurecompiler-library,https://packagist.org/packages/scribe/closurecompiler-library#v0.1.2,https://github.com/scribenet/ScribeClosureCompilerLibrary
4,,,2,"May 26, 2014",0,"Nov 14, 2019",887 KB,0,0,6,https://github.com/kimbalt/mailerloop,kimbalt/mailerloop,https://packagist.org/packages/kimbalt/mailerloop#,https://github.com/kimbalt/mailerloop
1,1,0,0,about 14 hours ago,0,about 14 hours ago,1.02 MB,0,1,1,https://github.com/wenbinye/tars-generator,wenbinye/tars-gen,https://packagist.org/packages/wenbinye/tars-gen#0.1.0,https://github.com/wenbinye/tars-generator
4,,,0,"Jul 27, 2018",0,"Jul 27, 2018",305 KB,0,0,1,https://github.com/ProgMiner/jlex-php,progminer/jlex-php,https://packagist.org/packages/progminer/jlex-php#,https://github.com/ProgMiner/jlex-php
0,,,0,"Jul 26, 2014",0,"Aug 17, 2017",1.81 MB,0,0,2,https://gitlab.com/webmodules/storage-api.git,jqgeeks/storage-api,/languages/Java,https://packagist.org/packages/jqgeeks/storage-api#
1,,,0,"Mar 30, 2015",0,"Oct 28, 2018",148 KB,0,0,1,https://github.com/seanmacdomhnall/javastudy,seanmacdomhnall/javastudy,https://packagist.org/packages/seanmacdomhnall/javastudy#,https://github.com/seanmacdomhnall/javastudy
1,10,0,0,"Nov 16, 2015",1,"Nov 16, 2015",488 KB,0,1,147,http://hudson-ci.org/,rudirocha/rubius-cms,https://packagist.org/packages/rudirocha/rubius-cms#v0.0.2,https://gitlab.com/rudi-rocha/rubius.git
3,,,0,"Jul 31, 2017",0,"May 16, 2019",835 KB,0,0,3,https://gitlab.com/SomePHP/JSONResponse,somephp/jsonrequest,/languages/Java,https://packagist.org/packages/somephp/jsonrequest#
11,2,2,0,"May 28, 2017",0,"Jul 22, 2018",1.53 MB,0,7,1,https://gitlab.com/Serenata/name-qualification-utilities,serenata/name-qualification-utilities,/languages/Java,https://packagist.org/packages/serenata/name-qualification-utilities#0.5.0
25,0,0,0,"Sep 25, 2014",1,"Sep 26, 2014",7.47 MB,0,3,5,http://yui.github.com/yuicompressor/,scribe/yuicompressor-library,https://packagist.org/packages/scribe/yuicompressor-library#v2.4.10,https://github.com/scribenet/ScribeYuiCompressorLibrary
1,1,0,0,"Aug 13, 2017",0,"Mar 31, 2018",1.3 MB,0,2,1,https://github.com/bvisonl/pdfviewer-bundle,bvisonl/pdfviewer-bundle,https://packagist.org/packages/bvisonl/pdfviewer-bundle#1.1.0,https://github.com/bvisonl/pdfviewer-bundle
0,,,3,"Jul 26, 2014",0,"Nov 14, 2019",1.81 MB,0,0,2,https://gitlab.com/webmodules/storage-api,webmodules/storage-api,/languages/Java,https://packagist.org/packages/webmodules/storage-api#
34,0,0,0,"Nov  2, 2014",0,"Dec 22, 2015",6.08 MB,0,3,1,https://github.com/ThebingServices/ResponsiveFilemanager,thebingservices/responsivefilemanager,https://packagist.org/packages/thebingservices/responsivefilemanager#9.9.6,https://github.com/ThebingServices/ResponsiveFilemanager
1,,,0,"Nov 20, 2015",0,"Nov 14, 2019",662 KB,0,0,1,https://github.com/zapoyok/pdfjs-bundle,zapoyok/pdfjs-bundle,https://packagist.org/packages/zapoyok/pdfjs-bundle#,https://github.com/zapoyok/pdfjs-bundle
